Tên xe,Giá
Mercedes-Benz C200 Avantgarde,1.559.000.000
Mercedes-Benz C200 Avantgarde Plus,1.849.000.000
Mercedes-Benz C300 AMG,2.099.000.000
Mercedes-AMG C43 4Matic,2.960.000.000
Mercedes-Benz E180,2.159.000.000
Mercedes-Benz E 200 Exclusive,2.540.000.000
Mercedes-Benz E300 AMG,3.209.000.000
Mercedes GLC 200 4Matic,2.299.000.000
Mercedes-Benz GLC 300 4Matic,2.799.000.000
Mercedes-AMG A 35 4MATIC,2.429.000.000
Mercedes EQB 250,2.289.000.000
Mercedes EQE 500 4matic,3.999.000.000
Mercedes EQS 500 4Matic (SUV),4.999.000.000
Mercedes EQS 450+ (V1),5.009.000.000
Mercedes EQS 580 4MATIC,5.959.000.000
Mercedes-Benz GLB 200 AMG,2.089.000.000
Mercedes-AMG GLB 35 4Matic,2.849.000.000
Mercedes-Benz GLE 450 4MATIC,4.559.000.000
Mercedes-Benz GLS 450 4MATIC,5.249.000.000
Mercedes-Maybach GLS 480 4MATIC,8.799.000.000
Mercedes-Maybach GLS 600 4MATIC,11.999.000.000
Mercedes-Benz S 450 4Matic,5.039.000.000
Mercedes-Benz S 450 4Matic Luxury,5.559.000.000
Mercedes-Maybach S450 4Matic,8.199.000.000
Mercedes-Maybach S680 4MATIC,15.990.000.000
Mercedes GLC 300 4MATIC Coupé,3.089.000.000
Mercedes-AMG GLE 53 4MATIC+ Coupé,5.749.000.000
Mercedes-AMG GT 53 4MATIC+ Coupé,6.719.000.000
Mercedes-AMG GT R Coupé,11.590.000.000
Mercedes-AMG G 63,11.750.000.000
Mercedes V 250 Luxury,3.099.000.000
Mercedes V 250 AMG,3.759.000.000
